latitude,longitude,acq_date,PREDICTED
33.6745,-117.4078,8/9/2018,65.69668248
33.6764,-117.4349,8/9/2018,72.81826305
33.706,-117.4336,8/9/2018,80.72914658
33.7081,-117.4626,8/9/2018,67.69703042
33.7253,-117.494,8/9/2018,70.16573717
33.7403,-117.4958,8/9/2018,65.56453345
33.691,-117.4017,8/9/2018,70.91060798
33.6928,-117.4293,8/9/2018,75.46375962
33.6615,-117.4344,8/9/2018,67.1143963
33.7058,-117.4009,8/9/2018,72.95389029
33.7077,-117.4297,8/9/2018,80.99381728
33.7096,-117.4588,8/9/2018,70.18022744
33.7265,-117.4897,8/9/2018,72.04072175
33.7415,-117.4917,8/9/2018,61.86088287
33.6716,-117.4437,8/9/2018,112.1452877
33.674,-117.4111,8/9/2018,89.59103554
33.6786,-117.4373,8/9/2018,75.40926625
33.6579,-117.4421,8/9/2018,70.29046567
33.6606,-117.4902,8/9/2018,62.69347618
33.6624,-117.4667,8/9/2018,81.71514755
33.6648,-117.437,8/9/2018,112.1858223
33.6673,-117.4052,8/9/2018,66.64590628
33.736,-117.5027,8/9/2018,85.92525612
33.7221,-117.5037,8/9/2018,73.14479111
33.7106,-117.475,8/9/2018,74.35227724
33.7327,-117.5091,8/10/2018,64.31227986
33.7131,-117.5283,8/10/2018,65.49737501
33.724,-117.4538,8/10/2018,61.49513634
33.7223,-117.4427,8/10/2018,68.40337154
33.7272,-117.5332,8/10/2018,70.01516719
33.7174,-117.5305,8/10/2018,58.49089249
33.6877,-117.3995,8/10/2018,60.4669061
33.6697,-117.4035,8/10/2018,71.26093621
33.6638,-117.485,8/10/2018,63.14159395
33.6679,-117.3924,8/10/2018,76.48881833
33.729,-117.5444,8/10/2018,64.76642108
33.7452,-117.5291,8/10/2018,65.19978713
33.7434,-117.5177,8/10/2018,61.74821447
33.6607,-117.4059,8/10/2018,83.63949025
33.6589,-117.3947,8/10/2018,93.79418335
33.6548,-117.4871,8/10/2018,59.31615111
33.6655,-117.4106,8/10/2018,107.6532212
33.7345,-117.5372,8/10/2018,74.89708947
33.7372,-117.5227,8/10/2018,68.34131575
33.6596,-117.4417,8/10/2018,77.7733551
33.7276,-117.4527,8/10/2018,79.63243747
33.6682,-117.396,8/10/2018,95.07619836
33.7092,-117.4287,8/10/2018,63.43419182
33.6626,-117.4255,8/10/2018,107.7477767
33.7169,-117.4486,8/10/2018,88.67181288
33.714,-117.4639,8/10/2018,68.38123238
33.6516,-117.4231,8/10/2018,61.93915068
33.6547,-117.4069,8/10/2018,77.74351925
33.7097,-117.5464,8/10/2018,59.74740876
33.7206,-117.5495,8/10/2018,84.32546284
33.7314,-117.5535,8/10/2018,63.08877467
33.6791,-117.399,8/10/2018,70.82492233
33.6761,-117.4146,8/10/2018,66.89550463
33.7122,-117.4134,8/10/2018,63.91937587
33.7402,-117.5071,8/10/2018,63.79228787
33.7237,-117.5335,8/10/2018,98.12380431
33.6576,-117.4883,8/10/2018,64.26711757
33.656,-117.4389,8/10/2018,80.47379833
33.658,-117.4271,8/10/2018,82.51505416
33.6599,-117.4156,8/10/2018,73.46113059
33.6617,-117.4045,8/10/2018,68.1775816
33.6525,-117.4019,8/10/2018,69.37644575
33.7341,-117.5246,8/10/2018,89.24255697
33.736,-117.5131,8/10/2018,72.98088265
33.7268,-117.5099,8/10/2018,66.62209033
33.725,-117.4621,8/10/2018,68.3454645
33.7269,-117.4506,8/10/2018,76.79819701
33.7176,-117.448,8/10/2018,70.15573347
33.7379,-117.5011,8/10/2018,66.10285884
33.6555,-117.4841,8/10/2018,71.72252949
33.6497,-117.3924,8/10/2018,74.8717242
33.6565,-117.423,8/10/2018,89.31154736
33.7397,-117.5066,8/10/2018,71.25849029
33.7265,-117.4475,8/10/2018,65.92217361
33.7268,-117.5137,8/10/2018,66.6409567
33.7225,-117.4572,8/10/2018,65.36217109
33.6695,-117.4157,8/10/2018,63.72658371
33.6633,-117.4539,8/10/2018,65.41196788
33.6625,-117.4172,8/10/2018,69.50213269
33.6642,-117.4282,8/10/2018,64.89989295
33.6659,-117.4393,8/10/2018,67.73435641
33.7399,-117.4958,8/10/2018,61.05461814
33.7379,-117.5421,8/10/2018,77.55586732
33.7362,-117.5311,8/10/2018,133.4053428
33.7344,-117.5198,8/10/2018,69.22898093
33.736,-117.5264,8/11/2018,62.28920994
33.6612,-117.5049,8/11/2018,102.2265707
33.6696,-117.514,8/11/2018,71.31103763
33.7374,-117.5229,8/11/2018,72.78543168
33.6713,-117.4904,8/11/2018,90.86254413
33.6537,-117.4247,8/11/2018,87.46827966
33.663,-117.4819,8/11/2018,103.0167215
33.6515,-117.4525,8/11/2018,72.56333054
33.7323,-117.4537,8/11/2018,63.77727476
33.7388,-117.5142,8/11/2018,71.84881089
33.7517,-117.4964,8/11/2018,82.19172159
33.7379,-117.5083,8/11/2018,71.64333829
33.7535,-117.4786,8/11/2018,74.88451239
33.7405,-117.4969,8/11/2018,67.7177275
33.7459,-117.4925,8/12/2018,62.63295414
33.743,-117.511,8/12/2018,96.63028705
33.7402,-117.5257,8/12/2018,67.30897353
33.7461,-117.4951,8/12/2018,75.46202965
33.7451,-117.5079,8/12/2018,71.44473274
33.7432,-117.5027,8/12/2018,69.60212695
33.7527,-117.5006,8/12/2018,65.19484636
33.7483,-117.5014,8/13/2018,63.39193013
33.7468,-117.5136,8/13/2018,63.29484278
34.0926,-117.535,8/22/2018,61.796257
33.9408,-117.0714,8/22/2018,68.39300141
33.7106,-117.5259,8/27/2018,108.6944538
33.708,-117.5327,8/27/2018,98.87029011
33.7065,-117.5188,8/27/2018,88.54520351
33.7091,-117.5119,8/27/2018,71.17070414
33.7189,-117.5316,8/27/2018,78.16307427
33.7173,-117.5168,8/27/2018,75.17306271
33.7215,-117.5256,8/27/2018,67.23427701
33.7122,-117.5417,8/27/2018,75.29939257
33.716,-117.5205,8/28/2018,62.41342808
33.7091,-117.5247,8/28/2018,64.14489583
34.0925,-117.5365,8/31/2018,59.94012063
34.0909,-117.5341,9/7/2018,59.8385634
34.2423,-117.8692,9/9/2018,78.01602367
34.2293,-117.8618,9/9/2018,62.89176245
34.2309,-117.851,9/9/2018,78.64715463
34.233,-117.8304,9/9/2018,80.39393053
34.2244,-117.8309,9/9/2018,77.62772598
34.2337,-117.8684,9/9/2018,80.45142995
34.2394,-117.8221,9/9/2018,60.88105565
34.2492,-117.8618,9/9/2018,60.49527305
34.0954,-117.5349,9/14/2018,59.80885198
34.4969,-117.4684,9/15/2018,67.38165261
33.8972,-117.5845,9/25/2018,70.35615916
33.8957,-117.5952,9/25/2018,84.47705915
34.2412,-117.4343,9/26/2018,131.0277232
34.2339,-117.4305,9/26/2018,67.45155553
34.2427,-117.4458,9/26/2018,84.80907651
34.2397,-117.4227,9/26/2018,71.21558116
34.1866,-117.338,10/12/2018,69.44146198
34.1781,-117.3012,10/12/2018,63.04077403
34.1926,-117.3473,10/12/2018,62.18734323
34.1889,-117.296,10/12/2018,68.58071892
34.1946,-117.3067,10/12/2018,66.42639047
34.0954,-117.5322,10/26/2018,57.83000253
34.2892,-117.8386,12/4/2018,52.78948523
34.0943,-117.5333,12/7/2018,52.66775514
34.0897,-117.5397,12/12/2018,51.14596061
34.0922,-117.5349,12/13/2018,51.38440982
34.0963,-117.5323,12/15/2018,51.02261366
33.6419,-117.4305,12/17/2018,68.70585482
47.9473,-122.8728,1/4/2017,58.65349383
48.1785,-124.6336,1/5/2017,54.92745651
48.1714,-124.6227,1/5/2017,56.28137497
46.7412,-124.0408,1/5/2017,54.28710559
42.5873,-124.2977,1/16/2017,54.68079793
42.5912,-124.3038,1/17/2017,62.933204
42.5833,-124.3095,1/17/2017,66.93410777
46.5877,-123.8076,1/27/2017,66.71068537
46.5903,-123.8078,1/27/2017,54.88562157
46.5871,-123.8245,1/27/2017,52.53332562
42.2134,-124.2909,1/30/2017,62.04020689
42.2118,-124.303,1/30/2017,62.77475098
47.5681,-122.3722,2/17/2017,50.32768752
47.5704,-122.3681,2/28/2017,55.17202487
45.2273,-123.1618,3/16/2017,50.55445586
47.5673,-122.3741,3/19/2017,51.3612185
43.8339,-123.5784,4/3/2017,54.12041679
45.0647,-122.796,4/6/2017,51.41771098
45.2146,-123.1382,4/15/2017,50.18572954
45.2277,-123.1682,5/3/2017,57.25491433
43.8643,-123.6532,5/3/2017,67.07547009
43.8625,-123.6409,5/3/2017,60.85419553
43.864,-123.6617,5/3/2017,59.89529203
45.306,-123.0675,5/8/2017,50.91592849
44.9766,-123.149,5/8/2017,50.62078354
43.831,-123.5449,5/8/2017,65.3284453
43.6352,-123.5671,5/8/2017,51.9978309
43.8241,-123.544,5/8/2017,93.8546136
43.8222,-123.5564,5/8/2017,80.59309655
43.8091,-123.6114,5/9/2017,59.45978633
43.7953,-123.6122,5/9/2017,59.90642463
47.5665,-122.3696,5/10/2017,56.56791781
45.3054,-123.0716,5/10/2017,60.7999065
44.8064,-122.7381,5/10/2017,52.71037891
41.6417,-123.0768,5/10/2017,55.59701701
44.982,-123.2028,5/10/2017,52.7665185
43.8028,-123.6185,5/10/2017,93.1276884
43.8008,-123.6062,5/10/2017,59.93964529
42.4593,-123.2331,5/10/2017,53.74388997
43.5057,-123.3626,5/10/2017,51.901057
44.8034,-122.7515,5/10/2017,55.11749208
47.5672,-122.3708,5/10/2017,58.72129071
42.4662,-123.1806,5/15/2017,53.11359624
41.6432,-123.0941,5/18/2017,54.41928563
43.7789,-123.6766,5/20/2017,52.31601634
43.7893,-123.6789,5/20/2017,109.0932475
43.7876,-123.6959,5/20/2017,126.722146
43.7998,-123.6804,5/20/2017,57.38429869
43.7981,-123.6973,5/20/2017,68.00099954
